CPU: ID 0x806d0, Processor Type 0x0, Family 0x6, Model 0x8d, Stepping 0x0
Northbridge: 8086:9a36 (11th generation (Tiger Lake H family) Core Processor (Mobile))
Southbridge: 8086:438b (HM570)
IGD: 8086:9a60 (Intel(R) UHD Graphics for 11th Gen Intel(R) Processors)
SBREG_BAR = 0xfd000000 (MEM)


============= GPIOS =============

------- GPIO Community 0 -------

PCR Port ID: 0x6e0000

------- GPIO Group GPP_A -------
0x0600: 0x00003c0040000700 GPP_A0       ESPI_IO0
0x0610: 0x00003c0040000700 GPP_A1       ESPI_IO1
0x0620: 0x00003c0040000700 GPP_A2       ESPI_IO2
0x0630: 0x00003c0040000700 GPP_A3       ESPI_IO3
0x0640: 0x00003c0040000700 GPP_A4       ESPI_CS0#
0x0650: 0x00003c0040000700 GPP_A5       ESPI_CLK
0x0660: 0x00003c0040000700 GPP_A6       ESPI_RESET#
0x0670: 0x00003c0040000700 GPP_A7       ESPI_CS1#
0x0680: 0x0000301844000700 GPP_A8       ESPI_CS2#
0x0690: 0x0000301944000702 GPP_A9       ESPI_CS3#
0x06a0: 0x0000302044000600 GPP_A10      ESPI_ALERT0#
0x06b0: 0x0000302144000700 GPP_A11      ESPI_ALERT1#
0x06c0: 0x0000302244000700 GPP_A12      ESPI_ALERT2#
0x06d0: 0x0000102344000700 GPP_A13      ESPI_ALERT3#
0x06e0: 0x0000002444000700 GPP_A14      n/a
0x06f0: 0x0000302544000700 SPI0_CLK_LOOPBK SPI0_CLK_LOOPBK
0x0700: 0x0000302644000700 ESPI_CLK_LOOPBK ESPI_CLK_LOOPBK
------- GPIO Group GPP_R -------
0x0710: 0x0000002784000201 GPP_R0       GPIO
0x0720: 0x0000302844000702 GPP_R1       HDA_SYNC
0x0730: 0x0000002984000200 GPP_R2       GPIO
0x0740: 0x0000002a84000201 GPP_R3       GPIO
0x0750: 0x0000002b84000200 GPP_R4       GPIO
0x0760: 0x0000003044000300 GPP_R5       GPIO
0x0770: 0x0000000040000700 GPP_R6       n/a
0x0780: 0x0000000040000700 GPP_R7       n/a
0x0790: 0x0000003144000700 GPP_R8       n/a
0x07a0: 0x00003c3244000700 GPP_R9       PCIE_LNK_DOWN
0x07b0: 0x00003c3344000700 GPP_R10      ISH_UART0_RTS#
0x07c0: 0x00003c3444000700 GPP_R11      SX_EXIT_HOLDOFF#
0x07d0: 0x0000003544000700 GPP_R12      CLKOUT_48
0x07e0: 0x0000003644000700 GPP_R13      ISH_GP7
0x07f0: 0x0000003744000300 GPP_R14      GPIO
0x0800: 0x0000003844000300 GPP_R15      GPIO
0x0810: 0x0000003944000300 GPP_R16      GPIO
0x0820: 0x0000003a44000300 GPP_R17      GPIO
0x0830: 0x0000003b84000201 GPP_R18      GPIO
0x0840: 0x0000003c44000300 GPP_R19      GPIO
------- GPIO Group GPP_B -------
0x0850: 0x0000003d84000201 GPP_B0       GPIO
0x0860: 0x0000003e44000300 GPP_B1       GPIO
0x0870: 0x0000003f44000300 GPP_B2       GPIO
0x0880: 0x0000004044000300 GPP_B3       GPIO
0x0890: 0x0000004144000300 GPP_B4       GPIO
0x08a0: 0x0000004244000300 GPP_B5       GPIO
